occurrence_id,classification,latitude,longitude,city,state,country,date,time,aircraft_type,aircraft_manufacturer,aircraft_model,aircraft_damage_level,total_aircraft_fatalities,type_category
46587,ACIDENTE,-20.4694444444,-54.6702777778,CAMPO GRANDE,MS,BRASIL,19/11/2012,15:45:00,AVIÃO,BEECH AIRCRAFT,58,SUBSTANCIAL,0,COM TREM DE POUSO
46586,ACIDENTE,-14.4888888889,-49.1555555556,URUAÇU,GO,BRASIL,16/11/2012,11:50:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,SUBSTANCIAL,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
46585,ACIDENTE,-31.327778,-54.135833,BAGÉ,RS,BRASIL,13/11/2012,18:30:00,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO
46584,ACIDENTE,-15.2916666667,-58.3202777778,ARAPUTANGA,MT,BRASIL,08/11/2012,12:10:00,AVIÃO,EMBRAER,EMB-202A,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO
46583,ACIDENTE,\t-25.25833333\t,\t-49.32805556\t,ALMIRANTE TAMANDARÉ,PR,BRASIL,06/11/2012,21:30:00,AVIÃO,PIPER AIRCRAFT,PA-31T2,DESTRUÍDA,4,PANE SECA
46582,ACIDENTE,-15.0647222222,-55.2494444444,CHAPADA DOS GUIMARÃES,MT,BRASIL,01/11/2012,19:49:00,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,DESTRUÍDA,4,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
46581,ACIDENTE,-25.1125,-48.80166666666,CAMPINA GRANDE DO SUL,PR,BRASIL,18/10/2012,21:00:00,ULTRALEVE,Unknown,EAGLE II,DESTRUÍDA,2,PERDA DE CONTROLE EM VOO
46577,INCIDENTE,-2.2469444444,-49.5633333333,CAMETÁ,PA,BRASIL,22/10/2012,18:38:00,AVIÃO,CESSNA AIRCRAFT,172M,LEVE,0,FALHA DO MOTOR EM VOO
46576,INCIDENTE GRAVE,-19.4705555556,-42.4880555556,IPATINGA,MG,BRASIL,28/10/2012,17:30:00,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,NENHUM,0,FALHA DO MOTOR EM VOO
46575,INCIDENTE,-8.126388888888,-34.92277777777,RECIFE,PE,BRASIL,29/10/2012,02:45:00,AVIÃO,BOEING COMPANY,737-3Y0,NENHUM,0,DESCOMPRESSÃO NÃO INTENCIONAL
46574,INCIDENTE,-15.87111111111,-47.91861111111,BRASÍLIA,DF,BRASIL,24/10/2012,22:50:00,AVIÃO,BOEING COMPANY,737-3Y0,NENHUM,0,DESCOMPRESSÃO NÃO INTENCIONAL
46573,INCIDENTE GRAVE,-28.2828874,-54.1722687,SANTO ÂNGELO,RS,BRASIL,05/11/2012,20:40:00,AVIÃO,AERO BOERO,AB-115,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
46572,INCIDENTE GRAVE,-25.53166666666,-49.17611111111,CURITIBA,PR,BRASIL,02/11/2012,12:26:00,AVIÃO,PIPER AIRCRAFT,PA-34-220T,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO
46571,ACIDENTE,-23.330278,-51.136667,LONDRINA,PR,BRASIL,13/10/2012,21:40:00,ULTRALEVE,Unknown,FOX VECTOR V6,DESTRUÍDA,1,PERDA DE CONTROLE EM VOO
46570,ACIDENTE,-23.6261111111,-46.6563888889,SÃO PAULO,SP,BRASIL,11/11/2012,19:21:00,AVIÃO,CESSNA AIRCRAFT,525B,SUBSTANCIAL,0,POUSO LONGO
